Country Name,Country ISO Code,Indicator Name,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020
Cambodia,KHM,Pump price for gasoline (US$ per liter),0.47,0.61,0.63,0.79,1.01,0.94,1.15,1.35,1.34,0.9,1.125,1.233
"Korea, Rep.",KOR,Pump price for gasoline (US$ per liter),0.93,0.92,1.09,1.35,1.65,1.51,1.52,1.8,1.55,1.22,1.51,1.53
Kuwait,KWT,Pump price for gasoline (US$ per liter),0.17,0.21,0.2,0.24,0.22,0.24,0.23,0.23,0.22,0.35,0.29,0.255
Latin America & Caribbean (excluding high income),LAC,Pump price for gasoline (US$ per liter),0.5,0.62,0.55,0.72,0.89,0.87,1.065,1.28,1.2,0.98,1.13,1.165
Lao PDR,LAO,Pump price for gasoline (US$ per liter),0.31,0.41,0.36,0.54,0.86,0.92,1.26,1.33,1.4,0.93,1.13,1.265
Lebanon,LBN,Pump price for gasoline (US$ per liter),0.35,0.53,0.65,0.71,0.74,0.76,1.13,1.11,0.96,0.74,0.925,0.943
Liberia,LBR,Pump price for gasoline (US$ per liter),0.56,0.55,0.61,0.75,0.79,0.77,0.98,1.17,0.91,0.8,0.985,0.948
Libya,LBY,Pump price for gasoline (US$ per liter),0.22,0.25,0.1,0.09,0.12,0.14,0.17,0.12,0.14,0.11,0.115,0.058
Latin America & Caribbean,LCN,Pump price for gasoline (US$ per liter),0.49,0.62,0.545,0.705,0.915,0.89,1.065,1.28,1.2,0.92,1.1,1.15
Least developed countries: UN classification,LDC,Pump price for gasoline (US$ per liter),0.57,0.64,0.605,0.8,1.01,1.13,1.18,1.34,1.34,0.96,1.15,1.245
Low income,LIC,Pump price for gasoline (US$ per liter),0.61,0.68,0.58,0.9,1.11,1.23,1.3,1.41,1.385,0.965,1.188,1.286
Liechtenstein,LIE,Pump price for gasoline (US$ per liter),0.85,0.81,0.89,1.29,1.27,1.3,1.66,1.88,1.74,1.21,0.94,1.34
Sri Lanka,LKA,Pump price for gasoline (US$ per liter),0.84,0.66,0.54,0.72,0.88,1.43,1.19,1.29,1.27,0.88,1.085,1.178
Lower middle income,LMC,Pump price for gasoline (US$ per liter),0.47,0.53,0.52,0.685,0.85,0.93,1.075,1.25,1.14,0.905,1.078,1.109
Low & middle income,LMY,Pump price for gasoline (US$ per liter),0.47,0.55,0.54,0.74,0.89,1.03,1.11,1.29,1.225,0.92,1.105,1.165
Lesotho,LSO,Pump price for gasoline (US$ per liter),0.39,0.5,0.61,0.73,0.89,0.79,0.97,1.24,1.03,0.7,0.97,1
Late-demographic dividend,LTE,Pump price for gasoline (US$ per liter),0.47,0.54,0.5,0.725,0.92,1.085,1.2,1.38,1.27,0.88,1.13,1.2
Lithuania,LTU,Pump price for gasoline (US$ per liter),0.51,0.66,0.69,1.03,1.08,1.13,1.59,1.83,1.57,1.16,1.495,1.533
Luxembourg,LUX,Pump price for gasoline (US$ per liter),0.78,0.75,0.76,1.19,1.29,1.4,1.55,1.64,1.52,1.19,1.415,1.468
Latvia,LVA,Pump price for gasoline (US$ per liter),0.55,0.67,0.7,0.94,1.2,1.12,1.48,1.8,1.48,1.16,1.48,1.48
Morocco,MAR,Pump price for gasoline (US$ per liter),0.79,0.82,0.87,1.1,1.22,1.29,1.23,1.42,1.38,0.99,1.205,1.293
Monaco,MCO,Pump price for gasoline (US$ per liter),0.88,0.98,1.33,1.39,1.51,1.64,1.92,2.23,2,1.88,1.115,1.558
Moldova,MDA,Pump price for gasoline (US$ per liter),0.33,0.51,0.55,0.91,1.05,1.2,1.21,1.42,1.21,0.8,1.11,1.16
Madagascar,MDG,Pump price for gasoline (US$ per liter),0.47,0.76,1.08,1.05,1.15,1.55,1.52,1.49,1.35,1.11,1.3,1.325
Maldives,MDV,Pump price for gasoline (US$ per liter),0.61,0.68,0.77,0.95,0.79,0.81,0.84,1.1,1.63,1.01,0.55,1.09
Middle East & North Africa,MEA,Pump price for gasoline (US$ per liter),0.31,0.29,0.29,0.31,0.32,0.45,0.48,0.525,0.83,0.55,0.538,0.684
Mexico,MEX,Pump price for gasoline (US$ per liter),0.36,0.61,0.62,0.59,0.74,0.74,0.81,0.86,1.03,0.73,0.795,0.913
Middle income,MIC,Pump price for gasoline (US$ per liter),0.465,0.53,0.52,0.69,0.86,0.95,1.09,1.285,1.205,0.91,1.098,1.151
North Macedonia,MKD,Pump price for gasoline (US$ per liter),0.7,0.76,0.85,1.17,1.23,1.15,1.52,1.75,1.49,1.11,1.43,1.46
Mali,MLI,Pump price for gasoline (US$ per liter),0.77,0.7,0.69,1.16,1.22,1.3,1.42,1.41,1.47,1.12,1.265,1.368
Malta,MLT,Pump price for gasoline (US$ per liter),0.77,0.81,0.87,1.18,1.38,1.66,1.63,1.92,1.8,1.36,1.64,1.72
Myanmar,MMR,Pump price for gasoline (US$ per liter),0.13,0.33,0.36,0.12,0.66,0.43,0.8,1.04,1.14,0.54,0.79,0.965
Middle East & North Africa (excluding high income),MNA,Pump price for gasoline (US$ per liter),0.35,0.44,0.29,0.46,0.6,0.61,0.94,0.86,0.895,0.735,0.798,0.846
Montenegro,MNE,Pump price for gasoline (US$ per liter),0.61,0.56,0.74,1.2,1.51,1.27,1.62,1.82,1.6,1.16,1.49,1.545
Mongolia,MNG,Pump price for gasoline (US$ per liter),0.23,0.38,0.38,0.61,0.88,1.38,1.11,1.29,1.01,0.72,1.005,1.008
Mozambique,MOZ,Pump price for gasoline (US$ per liter),0.55,0.56,0.46,0.88,1.15,1.71,1.11,1.58,1.55,0.65,1.115,1.333
Mauritania,MRT,Pump price for gasoline (US$ per liter),0.59,0.67,0.63,0.8,0.97,1.49,1.16,1.43,1.53,1.13,1.28,1.405
Mauritius,MUS,Pump price for gasoline (US$ per liter),0.34,0.55,0.68,0.77,1.2,1.31,1.55,1.65,1.65,1.12,1.385,1.518
Malawi,MWI,Pump price for gasoline (US$ per liter),0.51,0.69,0.66,0.95,1.17,1.78,1.71,1.93,1.78,1.15,1.54,1.66
Malaysia,MYS,Pump price for gasoline (US$ per liter),0.28,0.28,0.35,0.37,0.53,0.53,0.59,0.62,0.68,0.45,0.535,0.608
North America,NAC,Pump price for gasoline (US$ per liter),0.365,0.525,0.455,0.61,0.735,0.66,0.985,1.145,0.965,0.76,0.953,0.959
Namibia,NAM,Pump price for gasoline (US$ per liter),0.38,0.47,0.45,0.68,0.87,0.78,1.06,1.24,1.08,0.76,1,1.04
Niger,NER,Pump price for gasoline (US$ per liter),0.76,0.68,0.77,1.02,1.14,0.99,1.07,1.12,1.09,0.88,1,1.045
Nigeria,NGA,Pump price for gasoline (US$ per liter),0.13,0.27,0.2,0.39,0.51,0.59,0.44,0.62,0.56,0.46,0.54,0.55
Nicaragua,NIC,Pump price for gasoline (US$ per liter),0.47,0.62,0.54,0.69,0.67,0.87,1.09,1.23,1.18,0.91,1.07,1.125
Netherlands,NLD,Pump price for gasoline (US$ per liter),1.14,1.03,1.12,1.62,1.7,1.68,2.13,2.33,2.15,1.68,2.005,2.078
Norway,NOR,Pump price for gasoline (US$ per liter),1.21,1.19,1.23,1.61,1.8,1.63,2.12,2.53,2.27,1.78,2.155,2.213
Nepal,NPL,Pump price for gasoline (US$ per liter),0.59,0.63,0.66,0.72,0.94,1.13,1.18,1.44,1.31,0.91,1.175,1.243
New Zealand,NZL,Pump price for gasoline (US$ per liter),0.64,0.48,0.55,0.77,0.98,1.09,1.47,1.77,1.71,1.4,1.585,1.648
OECD members,OED,Pump price for gasoline (US$ per liter),0.84,0.77,0.865,1.235,1.3,1.37,1.67,1.895,1.725,1.32,1.608,1.666
Oman,OMN,Pump price for gasoline (US$ per liter),0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.45,0.38,0.345
Other small states,OSS,Pump price for gasoline (US$ per liter),0.52,0.56,0.61,0.76,0.89,0.91,1.24,1.3,1.37,1.02,1.16,1.265
Pakistan,PAK,Pump price for gasoline (US$ per liter),0.46,0.53,0.52,0.62,1.01,0.84,0.86,1.14,0.94,0.79,0.965,0.953
